code,name,name_fa,icao,logo
TF,Braathens Regional Aviation,,SCW,images/airlines/SCW.png
TG,Thai Airways International,,THA,images/airlines/THA.png
TH,Transmile Air Services,,THS,images/airlines/THS.png
TJ,Tradewind Aviation,,TJA,images/airlines/TJA.png
TK,Turkish Airlines,,THY,images/airlines/THY.png
TL,Airnorth,,TMA,images/airlines/TMA.png
TN,Air Tahiti Nui,,THT,images/airlines/THT.png
TO,Transavia France,,TVF,images/airlines/TVF.png
TP,TAP Portugal,,TAP,images/airlines/TAP.png
TR,Scoot/TigerAir Singapore,,TGW,images/airlines/TGW.png
TS,Air Transat,,TSC,images/airlines/TSC.png
TT,Tiger Airways Australia,,TGW,images/airlines/TGW.png
TU,Tunisair,,TAR,images/airlines/TAR.png
TUL,Tulpar Air,,TUL,images/airlines/TUL.png
TV,Virgin Express,,VEX,images/airlines/VEX.png
TW,TWAY AIR,,TWB,images/airlines/TWB.png
TX,Air Caraibes,,FWI,images/airlines/FWI.png
TY,Air Caledonie,,IWD,images/airlines/IWD.png
TZ,Scoot,,SCO,images/airlines/SCO.png
U3,Avies,,AIA,images/airlines/AIA.png
U4,PMTair,,PMT,images/airlines/PMT.png
U5,USA3000 Airlines,,GWY,images/airlines/GWY.png
U6,Ural Airlines,,SVR,images/airlines/SVR.png
U7,Air Uganda,,JUS,images/airlines/JUS.png
U8,Armavia,,RNV,images/airlines/RNV.png
UA,United Airlines,,UAL,images/airlines/UAL.png
UB,Myanmar National Airlines,,UBA,images/airlines/UBA.png
UD,Hex'Air,,HER,images/airlines/HER.png
UF,UM Airlines,,UKM,images/airlines/UKM.png
UG,Tunisair Express,,TUI,images/airlines/TUI.png
UI,Super Air Jet,,ECA,images/airlines/ECA.png
UJ,Almasria Universal Airlines,,LMU,images/airlines/LMU.png
UK,Vistara,,VTI,images/airlines/VTI.png
UL,SriLankan Airlines,,ALK,images/airlines/ALK.png
UM,Air Zimbabwe,,AZW,images/airlines/AZW.png
UN,Transaero Airlines,,TSO,images/airlines/TSO.png
UO,Hong Kong Express Airways,,HKE,images/airlines/HKE.png
UP,Bahamasair,,BHS,images/airlines/BHS.png
US,US Airways,,USA,images/airlines/USA.png
UT,UTair Aviation,,UTA,images/airlines/UTA.png
UU,Air Austral,,REU,images/airlines/REU.png
UX,Air Europa,,AEA,images/airlines/AEA.png
UZ,El-Buraq Air Transport,,BRQ,images/airlines/BRQ.png
V0,Conviasa,,VCV,images/airlines/VCV.png
V2,Vision Airlines,,RBY,images/airlines/RBY.png
V3,Carpatair,,KRP,images/airlines/KRP.png
V7,Volotea,,VOE,images/airlines/VOE.png
V8,Iliamna Air,,VAS,images/airlines/VAS.png
VA,Virgin Australia,,VOZ,images/airlines/VOZ.png
VD,Hennan Airlines,,BBB,images/airlines/BBB.png
VF,Valuair,,VLU,images/airlines/VLU.png
VG,VLM Airlines,,VLM,images/airlines/VLM.png
VI,Volga-Dnepr Airlines,,VDA,images/airlines/VDA.png
VJ,Vietjet Aviation,,RAC,images/airlines/RAC.png
VL,Air VIA,,VIM,images/airlines/VIM.png
VM,Max Air Limited,,VOA,images/airlines/VOA.png
VN,Vietnam Airlines,,HVN,images/airlines/HVN.png
VO,Tyrolean Airways,,TYR,images/airlines/TYR.png
VQ,Novoair,,VKH,images/airlines/VKH.png
VR,Transportes Aereos de Cabo Verde,,TCV,images/airlines/TCV.png
VRH,Varesh,هواپیمایی وارش,VRH,images/airlines/VRH.png
VS,Virgin Atlantic Airways,,VIR,images/airlines/VIR.png
VT,Air Tahiti,,VTA,images/airlines/VTA.png
VU,Air Ivoire,,VUN,images/airlines/VUN.png
VV,Aerosvit Airlines,,AEW,images/airlines/AEW.png
VW,Aeromar,,TAO,images/airlines/TAO.png
VX,Virgin America,,VRD,images/airlines/VRD.png
VY,Vueling Airlines,,VLG,images/airlines/VLG.png
VZ,Thai Vietjat Air,,MYT,images/airlines/MYT.png
W5,Mahan Air,هواپیمایی ماهان,IRM,images/airlines/IRM.png
W6,Wizz Air,,WZZ,images/airlines/WZZ.png
W8,Cargojet Airways,,CJT,images/airlines/CJT.png
W9,Wizz Air UK,,SGR,images/airlines/SGR.png
WA,KLM Cityhopper,,WAL,images/airlines/WAL.png
WB,Rwandair Express,,RWD,images/airlines/RWD.png
WC,Islena De Inversiones,,ISV,images/airlines/ISV.png
WD,Amsterdam Airlines,,AAN,images/airlines/AAN.png
WF,Widerøe,,WIF,images/airlines/WIF.png
WJ,Labrador Airways,,WEB,images/airlines/WEB.png
WK,Edelweiss Air,,EDW,images/airlines/EDW.png
WN,Southwest Airlines,,SWA,images/airlines/SWA.png
WO,Swoop Inc,,WOA,images/airlines/WOA.png
WP,Island Air,,MKU,images/airlines/MKU.png
WR,WestJet Encore,,WEN,images/airlines/WEN.png
WS,WestJet,,WJA,images/airlines/WJA.png
WV,Swe Fly,,SWV,images/airlines/SWV.png
WW,WOW Air,,BMI,images/airlines/BMI.png
WX,CityJet,,BCY,images/airlines/BCY.png
WY,Oman Air,,OMA,images/airlines/OMA.png
WZ,Red Wings Airline,,RWZ,images/airlines/RWZ.png
XE,JetSuite Air,,BTA,images/airlines/BTA.png
XF,Vladivostok Air,,VLK,images/airlines/VLK.png
XJ,Thai AirAsia,,MES,images/airlines/MES.png
XK,Corse Méditerranée,,CCM,images/airlines/CCM.png
XL,Latam Airlines Ecuador,,LNE,images/airlines/LNE.png
XM,J-Air,,SMX,images/airlines/SMX.png
XQ,SunExpress,,SXS,images/airlines/SXS.png
XS,SITA,,TXP,images/airlines/TXP.png
XT,PT Indonesia Airasia Extra,,AXL,images/airlines/AXL.png
XW,Nokscoot Airlines,,SXR,images/airlines/SXR.png
XY,Flynas,,KNE,images/airlines/KNE.png
Y4,Volaris,,VOI,images/airlines/VOI.png
