code,name,name_fa,country_code,city_name,city_name_fa,is_international
NLD,Quetzalcoatl Intl,فرودگاه بین‌المللی کتسالکوآتل,MX,Nuevo Laredo,نوئوو لاردو,1
NLE,Jerry Tyler Memo,فرودگاه یادبود جری تایلر (FAA: 3TR),US,Niles,نیلز,0
NLF,Darnley Island,,AU,Darnley Island,,0
NLG,Nelson Lagoon,فرودگاه نلسن لگون (FAA: OUL),US,Nelson Lagoon,Nelson Lagoon,0
NLH,Ninglang Luguhu,,CN,Ninglang,,0
NLK,Norfolk Island,فرودگاه نورفولک آیلند,NF,Norfolk Island,جزیره نورفک,1
NLL,Nullagine,,AU,Nullagine,,0
NLN,Kneeland,,US,Kneeland,,0
NLO,NLO,,CD,,,0
NLP,Nelspruit,,ZA,Nelspruit (Kruger National Park),,0
NLS,Nicholson,,AU,Nicholson,,0
NLT,NLT,,CN,,,0
NLU,Santa Lucia,,MX,Mexico City,,0
NLV,Nikolaev,فرودگاه میکولائیف,UA,Mykolaiv,میکولائیف,1
NMA,Namangan,,UZ,Namangan,,0
NMB,Daman,فرودگاه دامان,IN,Daman,دامان,0
NMC,Norman'S Cay,,BS,Norman'S Cay,,0
NME,Nightmute,فرودگاه نایتموت (FAA: IGT),US,Nightmute,نایت‌میوت,0
NMG,San Miguel,,PA,San Miguel,,0
NML,Mildred Lake,,CA,Mildred Lake,,0
NMN,NMN,,PG,,,0
NMP,New Moon,,AU,New Moon,,0
NMR,Nappa Merrie,,AU,Nappa Merrie,,0
NMS,Namsang,,MM,Nansang,,0
NMT,Namtu,,MM,Namtu,,0
NNA,NNA,پایگاه هوایی قنیطره,MA,,قنیطره,0
NNB,Santa Ana,,SB,Santa Ana Island,,0
NND,Nangade,,MZ,Nangade,,0
NNG,Nanning Wuxu Intl,فرودگاه بین‌المللی نانینگ ووژو,CN,Nanning,نان‌نینگ,0
NNI,NNI,,NA,,,0
NNK,Naknek,فرودگاه ناکنک (FAA: 5NK),US,Naknek,ناکنک,0
NNL,Nondalton,فرودگاه نوندالتون (FAA: 5NN),US,Nondalton,نوندالتون,0
NNM,Naryan-Mar,فرودگاه ناریان-مار,RU,Naryan-Mar,ناریان-مار,0
